Cell-ID,LAC/TAC,MCC,MNC,Lat,Lon,Accuracy,Address
15421,5731,262,1,52.32137,7.25747,1572,
15421,5731,262,1,52.32137,7.25747,1572,
30523396,3033,262,1,52.316873,7.218654,1007,
31553034,12003,262,1,52.19279,7.20549,1268,
34813957,12003,262,1,52.17382,7.26012,1672,
43453,14635,262,1,52.3135,7.2392,1488,
29429507,12003,262,1,52.188153,7.231207,820,
40031232,12003,262,1,52.187175,7.230702,1376,
28992258,12003,262,1,52.18803,7.23003,854,
29429507,12003,262,1,52.188153,7.231207,820,
40031232,12003,262,1,52.187175,7.230702,1376,
29429507,12003,262,1,52.188153,7.231207,820,
34813957,12003,262,1,52.17382,7.26012,1672,
29429504,12003,262,1,52.180226,7.245073,892,
34813954,12003,262,1,52.176581,7.253933,1149,
35783426,12003,262,1,52.186364,7.23442,864,
40319495,12003,262,1,52.189462,7.224529,874,
30523392,3033,262,1,52.328159,7.257605,905,
37828870,3033,262,1,52.308195,7.253398,1675,
30523393,3033,262,1,52.296976,7.244274,847,
31623168,12003,262,1,52.182515,7.241355,878,
31623168,12003,262,1,52.182515,7.241355,878,
31623168,12003,262,1,52.182515,7.241355,878,
31623168,12003,262,1,52.182515,7.241355,878,
34813954,12003,262,1,52.176581,7.253933,1149,
42374658,12003,262,1,52.17297,7.25757,895,
40031232,12003,262,1,52.187175,7.230702,1376,
37828864,3033,262,1,52.316771,7.255682,2122,
30523395,3033,262,1,52.319979,7.244395,873,
37828870,3033,262,1,52.308195,7.253398,1675,
30523392,3033,262,1,52.328159,7.257605,905,
30523401,3033,262,1,52.322948,7.258675,844,
30523401,3033,262,1,52.322948,7.258675,844,
30523392,3033,262,1,52.328159,7.257605,905,
37828864,3033,262,1,52.316771,7.255682,2122,
34813954,12003,262,1,52.176581,7.253933,1149,
36633601,3033,262,1,52.333043,7.25648,875,
37828870,3033,262,1,52.308195,7.253398,1675,
41817095,12003,262,1,52.31641,7.29351,5059,
30523401,3033,262,1,52.322948,7.258675,844,
34813957,12003,262,1,52.17382,7.26012,1672,
36633604,3033,262,1,52.323668,7.258686,831,
36633601,3033,262,1,52.333043,7.25648,875,
41817095,12003,262,1,52.31641,7.29351,5059,
42374658,12003,262,1,52.17297,7.25757,895,
36633604,3033,262,1,52.323668,7.258686,831,
41817094,12003,262,1,52.33973,7.29163,1947,
41817094,12003,262,1,52.33973,7.29163,1947,
41817088,12003,262,1,52.32695,7.31055,4405,
41817094,12003,262,1,52.33973,7.29163,1947,
41817090,12003,262,1,52.33835,7.29865,1153,
28779269,12003,262,1,52.32614,7.34144,5384,
41817090,12003,262,1,52.33835,7.29865,1153,
29615365,38022,262,1,52.33825,7.30555,2551,
42375180,12003,262,1,52.16205,7.32055,834,
42375180,12003,262,1,52.16205,7.32055,834,
42375180,12003,262,1,52.16205,7.32055,834,
28779269,12003,262,1,52.32614,7.34144,5384,
29615364,38022,262,1,52.32853,7.31033,3510,
28779269,12003,262,1,52.32614,7.34144,5384,
29615365,38022,262,1,52.33825,7.30555,2551,
28339712,12003,262,1,52.16,7.3297,2640,
29615370,38022,262,1,52.342584,7.240713,2706,
29615364,38022,262,1,52.32853,7.31033,3510,
29615364,38022,262,1,52.32853,7.31033,3510,
28339977,12003,262,1,52.151984,7.356614,866,
28779269,12003,262,1,52.32614,7.34144,5384,
29615370,38022,262,1,52.342584,7.240713,2706,
27763458,12003,262,1,52.11961,7.37201,1175,
27763461,12003,262,1,52.11768,7.37208,1174,
27763970,12003,262,1,52.12204,7.37034,846,
27763970,12003,262,1,52.12204,7.37034,846,
27763970,12003,262,1,52.12204,7.37034,846,
28779268,12003,262,1,52.31757,7.35147,6006,
28779268,12003,262,1,52.31757,7.35147,6006,
41817867,12003,262,1,52.3125,7.3572,6434,
28779268,12003,262,1,52.31757,7.35147,6006,
27763461,12003,262,1,52.11768,7.37208,1174,
27763461,12003,262,1,52.11768,7.37208,1174,
27763458,12003,262,1,52.11961,7.37201,1175,
41817867,12003,262,1,52.3125,7.3572,6434,
41817867,12003,262,1,52.3125,7.3572,6434,
41817867,12003,262,1,52.3125,7.3572,6434,
41817866,12003,262,1,52.30932,7.35882,6556,
41817866,12003,262,1,52.30932,7.35882,6556,
41817866,12003,262,1,52.30932,7.35882,6556,
27763459,12003,262,1,52.113668,7.400389,847,
27763459,12003,262,1,52.113668,7.400389,847,
27763459,12003,262,1,52.113668,7.400389,847,
27763459,12003,262,1,52.113668,7.400389,847,
34810629,12003,262,1,52.30415,7.35075,6165,
34810625,12003,262,1,52.28556,7.42366,1517,
30622978,12003,262,1,52.288503,7.406479,878,
36327680,12003,262,1,52.10116,7.39776,1096,
27763457,12003,262,1,52.10437,7.38607,4483,
27763457,12003,262,1,52.10437,7.38607,4483,
30622977,12003,262,1,52.29379,7.39509,9162,
30622978,12003,262,1,52.288503,7.406479,878,
34810625,12003,262,1,52.28556,7.42366,1517,
34810625,12003,262,1,52.28556,7.42366,1517,
27757312,12003,262,1,52.05168,7.453959,1393,
36327681,12003,262,1,52.082466,7.420249,1993,
36327683,12003,262,1,52.09954,7.40204,844,
33939973,12049,262,1,52.090383,7.635519,848,
27763460,12003,262,1,52.10363,7.38893,4298,
40326917,12049,262,1,52.13204,7.56714,1335,
36327680,12003,262,1,52.10116,7.39776,1096,
30622977,12003,262,1,52.29379,7.39509,9162,
28333570,12003,262,1,52.282965,7.404546,850,
36327681,12003,262,1,52.082466,7.420249,1993,
27763466,12003,262,1,52.08543,7.41793,854,
27757312,12003,262,1,52.05168,7.453959,1393,
27806978,12003,262,1,52.04502,7.457189,904,
27763457,12003,262,1,52.10437,7.38607,4483,
36327684,12003,262,1,52.09004,7.41504,1127,
36327681,12003,262,1,52.082466,7.420249,1993,
28334594,12003,262,1,52.27744,7.43284,1055,
27115776,12003,262,1,52.2787,7.446,3720,
27115776,12003,262,1,52.2787,7.446,3720,
27115776,12003,262,1,52.2787,7.446,3720,
28334848,12003,262,1,52.27652,7.43492,900,
28334848,12003,262,1,52.27652,7.43492,900,
27115776,12003,262,1,52.2787,7.446,3720,
30342914,12003,262,1,52.26941,7.45401,819,
28334848,12003,262,1,52.27652,7.43492,900,
28334594,12003,262,1,52.27744,7.43284,1055,
28334594,12003,262,1,52.27744,7.43284,1055,
28333570,12003,262,1,52.282965,7.404546,850,
28333570,12003,262,1,52.282965,7.404546,850,
27806984,12003,262,1,52.042111,7.470211,827,
27806978,12003,262,1,52.04502,7.457189,904,
41251329,12003,262,1,52.0767,7.4251,893,
27115777,12003,262,1,52.26568,7.44938,1367,
27115777,12003,262,1,52.26568,7.44938,1367,
27115777,12003,262,1,52.26568,7.44938,1367,
27115783,12003,262,1,52.26868,7.44718,831,
30342914,12003,262,1,52.26941,7.45401,819,
34826240,12003,262,1,52.269053,7.46623,877,
30342914,12003,262,1,52.26941,7.45401,819,
36249090,12003,262,1,52.041471,7.469571,885,
36249090,12003,262,1,52.041471,7.469571,885,
34826255,12003,262,1,52.26949,7.46399,839,
30342913,12003,262,1,52.269952,7.474421,851,
34826241,12003,262,1,52.24864,7.46374,880,
34826240,12003,262,1,52.269053,7.46623,877,
41831435,12003,262,1,52.27185,7.48525,887,
30342913,12003,262,1,52.269952,7.474421,851,
27757322,12003,262,1,52.03398,7.47698,2665,
27757322,12003,262,1,52.03398,7.47698,2665,
27757313,12003,262,1,52.024941,7.477359,1762,
27757322,12003,262,1,52.03398,7.47698,2665,
41831435,12003,262,1,52.27185,7.48525,887,
30342913,12003,262,1,52.269952,7.474421,851,
27757313,12003,262,1,52.024941,7.477359,1762,
41831435,12003,262,1,52.27185,7.48525,887,
41831433,12003,262,1,52.277995,7.512735,1858,
41831426,12003,262,1,52.26918,7.47308,895,
41831424,12003,262,1,52.27842,7.51312,955,
34720268,12003,262,1,52.02291,7.49771,865,
34720256,12003,262,1,52.016957,7.504777,875,
34720256,12003,262,1,52.016957,7.504777,875,
41831433,12003,262,1,52.277995,7.512735,1858,
41831433,12003,262,1,52.277995,7.512735,1858,
34720256,12003,262,1,52.016957,7.504777,875,
27804418,12049,262,1,52.059579,7.554995,2280,
27866626,12049,262,1,52.013774,7.56145,884,
30099457,12003,262,1,52.28707,7.52947,5946,
30099460,12003,262,1,52.29179,7.53579,5906,
30099460,12003,262,1,52.29179,7.53579,5906,
27804418,12049,262,1,52.059579,7.554995,2280,
27804418,12049,262,1,52.059579,7.554995,2280,
30099460,12003,262,1,52.29179,7.53579,5906,
27866626,12049,262,1,52.013774,7.56145,884,
27866626,12049,262,1,52.013774,7.56145,884,
30099456,12003,262,1,52.28961,7.55411,1218,
30099456,12003,262,1,52.28961,7.55411,1218,
30099459,12003,262,1,52.29042,7.55182,1274,
30099459,12003,262,1,52.29042,7.55182,1274,
27804417,12049,262,1,52.027149,7.599902,3756,
27804417,12049,262,1,52.027149,7.599902,3756,
30099465,12003,262,1,52.28966,7.55616,2402,
30099465,12003,262,1,52.28966,7.55616,2402,
30099456,12003,262,1,52.28961,7.55411,1218,
37857538,12003,262,1,52.206942,7.354931,872,
27804420,12049,262,1,52.02605,7.59795,1046,
27866635,12049,262,1,52.013993,7.566744,1223,
27866635,12049,262,1,52.013993,7.566744,1223,
27866635,12049,262,1,52.013993,7.566744,1223,
27866629,12049,262,1,52.015862,7.566361,1622,
40213259,12003,262,1,52.28852,7.57392,649,
40213253,12003,262,1,52.28928,7.55998,2540,
40213253,12003,262,1,52.28928,7.55998,2540,
40213250,12003,262,1,52.288685,7.575953,848,
30099456,12003,262,1,52.28961,7.55411,1218,
40213253,12003,262,1,52.28928,7.55998,2540,
27804420,12049,262,1,52.02605,7.59795,1046,
27866633,12049,262,1,52.01474,7.58594,783,
40213257,12003,262,1,52.29254,7.57464,3535,
37857536,12003,262,1,52.289045,7.595759,9417,
40213251,12003,262,1,52.29219,7.57189,848,
40213253,12003,262,1,52.28928,7.55998,2540,
40213257,12003,262,1,52.29254,7.57464,3535,
27866635,12049,262,1,52.013993,7.566744,1223,
27866633,12049,262,1,52.01474,7.58594,783,
27866633,12049,262,1,52.01474,7.58594,783,
40213251,12003,262,1,52.29219,7.57189,848,
29721602,12003,262,1,52.288092,7.579458,888,
29721605,12003,262,1,52.287906,7.565613,2753,
40213257,12003,262,1,52.29254,7.57464,3535,
40213248,12003,262,1,52.29426,7.58216,887,
40213251,12003,262,1,52.29219,7.57189,848,
27236096,12049,262,1,52.00143,7.59643,854,
